layer,K_eff,bit,granularity,rel_rmse,rmse,ref_rms,num_sequences,seq_len
19,4,4,per-channel,0.024304876150924443,0.04735447093844414,1.9483526945114136,4,2048
19,4,4,tile32,0.02360518563209299,0.04599122703075409,1.9483526945114136,4,2048
20,4,2,per-token,0.07520219161367,0.1624305546283722,2.1599178314208984,4,2048
20,4,2,per-channel,0.10298863676999945,0.2224469929933548,2.1599178314208984,4,2048
20,4,2,tile32,0.09274980429059507,0.20033195614814758,2.1599178314208984,4,2048
20,4,3,per-token,0.03844430250086747,0.08303653448820114,2.1599178314208984,4,2048
20,4,3,per-channel,0.05318218055218264,0.1148691400885582,2.1599178314208984,4,2048
20,4,3,tile32,0.04852189276338931,0.10480330139398575,2.1599178314208984,4,2048
20,4,4,per-token,0.017948655433625352,0.03876762092113495,2.1599178314208984,4,2048
20,4,4,per-channel,0.02451136267802567,0.05294252932071686,2.1599178314208984,4,2048
20,4,4,tile32,0.02351884549798941,0.050798773765563965,2.1599178314208984,4,2048
21,4,2,per-token,0.06960047996486983,0.16089105606079102,2.3116371631622314,4,2048
21,4,2,per-channel,0.09058120453074861,0.20939087867736816,2.3116371631622314,4,2048
21,4,2,tile32,0.08417246742859619,0.1945762038230896,2.3116371631622314,4,2048
21,4,3,per-token,0.0357221200893973,0.08257658034563065,2.3116371631622314,4,2048
21,4,3,per-channel,0.048096746973305224,0.11118222773075104,2.3116371631622314,4,2048
21,4,3,tile32,0.043406856579525845,0.10034090280532837,2.3116371631622314,4,2048
21,4,4,per-token,0.016869235981084956,0.03899555280804634,2.3116371631622314,4,2048
21,4,4,per-channel,0.023059390563898243,0.053304944187402725,2.3116371631622314,4,2048
21,4,4,tile32,0.021442704061137772,0.049567751586437225,2.3116371631622314,4,2048
22,4,2,per-token,0.06404413033585772,0.15714554488658905,2.453707218170166,4,2048
22,4,2,per-channel,0.09293018651917383,0.2280234694480896,2.453707218170166,4,2048
22,4,2,tile32,0.07985421160217407,0.1959388554096222,2.453707218170166,4,2048
22,4,3,per-token,0.03369175307050187,0.082669697701931,2.453707218170166,4,2048
22,4,3,per-channel,0.0500972322654576,0.12292394042015076,2.453707218170166,4,2048
22,4,3,tile32,0.042767946709695366,0.1049400195479393,2.453707218170166,4,2048
22,4,4,per-token,0.016020319592857317,0.039309173822402954,2.453707218170166,4,2048
22,4,4,per-channel,0.022805918111412513,0.05595904588699341,2.453707218170166,4,2048
22,4,4,tile32,0.02114615183759788,0.05188646540045738,2.453707218170166,4,2048
23,4,2,per-token,0.06232667606182363,0.16113795340061188,2.5853769779205322,4,2048
23,4,2,per-channel,0.08905751892519667,0.23024725914001465,2.5853769779205322,4,2048
23,4,2,tile32,0.07414317617796777,0.19168806076049805,2.5853769779205322,4,2048
23,4,3,per-token,0.03310392695143999,0.08558613061904907,2.5853769779205322,4,2048
23,4,3,per-channel,0.04473225889550299,0.1156497523188591,2.5853769779205322,4,2048
23,4,3,tile32,0.04140851359436281,0.1070566177368164,2.5853769779205322,4,2048
23,4,4,per-token,0.015481556170459926,0.040025658905506134,2.5853769779205322,4,2048
23,4,4,per-channel,0.021475986934345402,0.055523522198200226,2.5853769779205322,4,2048
23,4,4,tile32,0.019939071264026845,0.051550015807151794,2.5853769779205322,4,2048
24,4,2,per-token,0.056551255592415445,0.15329179167747498,2.710669994354248,4,2048
24,4,2,per-channel,0.08201476176257866,0.2223149538040161,2.710669994354248,4,2048
24,4,2,tile32,0.071860893572478,0.19479116797447205,2.710669994354248,4,2048
24,4,3,per-token,0.029357300146857414,0.07957795262336731,2.710669994354248,4,2048
24,4,3,per-channel,0.04301194650205188,0.1165911927819252,2.710669994354248,4,2048
24,4,3,tile32,0.03850860104521484,0.10438410937786102,2.710669994354248,4,2048
24,4,4,per-token,0.014215368739733636,0.03853317350149155,2.710669994354248,4,2048
24,4,4,per-channel,0.020884627475964146,0.056611333042383194,2.710669994354248,4,2048
24,4,4,tile32,0.019133552614675156,0.05186474695801735,2.710669994354248,4,2048
25,4,2,per-token,0.057099756596246956,0.16591162979602814,2.9056451320648193,4,2048
25,4,2,per-channel,0.08450531313324504,0.24554245173931122,2.9056451320648193,4,2048
25,4,2,tile32,0.07225201644613785,0.20993871986865997,2.9056451320648193,4,2048
25,4,3,per-token,0.029382506722844655,0.08537513762712479,2.9056451320648193,4,2048
25,4,3,per-channel,0.045081204938723696,0.13098998367786407,2.9056451320648193,4,2048
25,4,3,tile32,0.03806716766391907,0.11060968041419983,2.9056451320648193,4,2048
25,4,4,per-token,0.014110848660458176,0.04100111871957779,2.9056451320648193,4,2048
25,4,4,per-channel,0.020906072120656857,0.06074562668800354,2.9056451320648193,4,2048
25,4,4,tile32,0.018630190493938895,0.054132722318172455,2.9056451320648193,4,2048
26,4,2,per-token,0.057804858419417876,0.17976315319538116,3.109827756881714,4,2048
26,4,2,per-channel,0.0882692577940268,0.2745021879673004,3.109827756881714,4,2048
26,4,2,tile32,0.07678167575835514,0.2387777864933014,3.109827756881714,4,2048
26,4,3,per-token,0.02966175969325832,0.09224296361207962,3.109827756881714,4,2048
26,4,3,per-channel,0.0465518461098248,0.14476822316646576,3.109827756881714,4,2048
26,4,3,tile32,0.04015557328927928,0.12487691640853882,3.109827756881714,4,2048
26,4,4,per-token,0.014033932628296511,0.04364311322569847,3.109827756881714,4,2048
26,4,4,per-channel,0.021443163190909574,0.0666845440864563,3.109827756881714,4,2048
26,4,4,tile32,0.018827306331093814,0.058549679815769196,3.109827756881714,4,2048
27,4,2,per-token,0.059932588792585985,0.19528697431087494,3.258443832397461,4,2048
27,4,2,per-channel,0.0913793277540851,0.2977544069290161,3.258443832397461,4,2048
27,4,2,tile32,0.08145129284581631,0.26540446281433105,3.258443832397461,4,2048
27,4,3,per-token,0.030734038685709,0.1001451388001442,3.258443832397461,4,2048
27,4,3,per-channel,0.04414635073896874,0.14384840428829193,3.258443832397461,4,2048
27,4,3,tile32,0.04138913794959168,0.1348641812801361,3.258443832397461,4,2048
27,4,4,per-token,0.014690345880452397,0.04786766692996025,3.258443832397461,4,2048
27,4,4,per-channel,0.02319362847283501,0.07557513564825058,3.258443832397461,4,2048
27,4,4,tile32,0.021120650752351183,0.06882045418024063,3.258443832397461,4,2048
28,4,2,per-token,0.07444712461098839,0.3265807628631592,4.38674783706665,4,2048
28,4,2,per-channel,0.09094312495969252,0.39894455671310425,4.38674783706665,4,2048
28,4,2,tile32,0.08400345196900107,0.3685019612312317,4.38674783706665,4,2048
28,4,3,per-token,0.03300007842665898,0.1447630226612091,4.38674783706665,4,2048
28,4,3,per-channel,0.040936603670967374,0.17957855761051178,4.38674783706665,4,2048
28,4,3,tile32,0.038861048463975256,0.1704736202955246,4.38674783706665,4,2048
28,4,4,per-token,0.015354340021934226,0.06735561788082123,4.38674783706665,4,2048
28,4,4,per-channel,0.019258610927314037,0.08448266983032227,4.38674783706665,4,2048
28,4,4,tile32,0.018146611968003,0.0796046108007431,4.38674783706665,4,2048
29,3,2,per-token,0.06659413830505792,0.2921316921710968,4.38674783706665,4,2048
29,3,2,per-channel,0.08759533758628876,0.3842586576938629,4.38674783706665,4,2048
29,3,2,tile32,0.07959030789883526,0.3491426110267639,4.38674783706665,4,2048
29,3,3,per-token,0.029202299031796306,0.1281031221151352,4.38674783706665,4,2048
29,3,3,per-channel,0.04066983139733218,0.17840829491615295,4.38674783706665,4,2048
29,3,3,tile32,0.03757477368498059,0.16483105719089508,4.38674783706665,4,2048
29,3,4,per-token,0.013568459557055268,0.05952141061425209,4.38674783706665,4,2048
29,3,4,per-channel,0.018492356103911173,0.0811213031411171,4.38674783706665,4,2048
29,3,4,tile32,0.0173818534607208,0.07624980807304382,4.38674783706665,4,2048
30,2,2,per-token,0.06108615960102424,0.2679695785045624,4.38674783706665,4,2048
30,2,2,per-channel,0.08159062269249549,0.3579174876213074,4.38674783706665,4,2048
30,2,2,tile32,0.06962453681796155,0.3054252862930298,4.38674783706665,4,2048
30,2,3,per-token,0.025820256039961603,0.1132669523358345,4.38674783706665,4,2048
30,2,3,per-channel,0.035284995603641955,0.1547863781452179,4.38674783706665,4,2048
30,2,3,tile32,0.030811839236305295,0.13516376912593842,4.38674783706665,4,2048
30,2,4,per-token,0.012059792459286853,0.05290326848626137,4.38674783706665,4,2048
30,2,4,per-channel,0.017010192993728402,0.07461942732334137,4.38674783706665,4,2048
30,2,4,tile32,0.014811678306745872,0.06497509777545929,4.38674783706665,4,2048
31,1,2,per-token,0.055838651998312866,0.2449500858783722,4.38674783706665,4,2048
31,1,2,per-channel,0.051838480986875005,0.22740234434604645,4.38674783706665,4,2048
31,1,2,tile32,0.04834421768284893,0.2120738923549652,4.38674783706665,4,2048
31,1,3,per-token,0.02237463065278847,0.09815186262130737,4.38674783706665,4,2048
31,1,3,per-channel,0.022911290119202222,0.10050605237483978,4.38674783706665,4,2048
31,1,3,tile32,0.023135518439935606,0.10148968547582626,4.38674783706665,4,2048
31,1,4,per-token,0.010029434151598906,0.043996598571538925,4.38674783706665,4,2048
31,1,4,per-channel,0.009113275967458518,0.03997764363884926,4.38674783706665,4,2048
31,1,4,tile32,0.009251898361483843,0.04058574512600899,4.38674783706665,4,2048
